t p_x p_y p_z o_x o_y o_z o_w j
1.91197896003723 -0.102989239478362 -0.0582994803398627 0.123275333736032 0.226762931962541 -0.0987693794849737 0.663723533538228 0.705899605745345 0.538872074176987
1.92233800888062 -0.102962920512339 -0.0582108982994046 0.123491224836885 0.226457032712156 -0.0986433131523183 0.663720560426574 0.70601821985879 0.539688794507659
1.93223738670349 -0.102941489621096 -0.058128818295808 0.123686288934323 0.22606125244025 -0.098065791989766 0.663068713660681 0.706837528397393 0.539035418243122
1.94225072860718 -0.102927188555658 -0.0580360739577706 0.123874142542561 0.225808691659181 -0.0978451860044295 0.662820294385349 0.707181738803999 0.538545386044719
1.95221710205078 -0.102913536637072 -0.0579395865196293 0.12405396921228 0.225507120695907 -0.0981074699641088 0.663253352845913 0.706835520323744 0.53936210637539
1.9627788066864 -0.102898363712544 -0.0578321728501389 0.124241201647559 0.225126636767001 -0.0984726304358942 0.663935404329769 0.706265472291037 0.539688794507659
1.97271299362183 -0.102878083883979 -0.0577320766822691 0.12442089760745 0.22462401500844 -0.098545108303078 0.66435532037221 0.706020482567016 0.53936210637539
1.9827561378479 -0.102853831939825 -0.0576375850787399 0.124602664607383 0.224249971031508 -0.09778349130477 0.663700447222122 0.706860704578896 0.53936210637539
1.99299693107605 -0.102828386116386 -0.0575474181793454 0.124785884636553 0.2242576846177 -0.0969723460045273 0.662843049865251 0.707773937246646 0.53936210637539
2.00272226333618 -0.10280351700605 -0.0574605181950482 0.124955575675911 0.224231311962725 -0.0963690436557004 0.662071026602754 0.708586820293418 0.540015482639927
2.01291942596436 -0.10277501505349 -0.0573642300197939 0.12513241677138 0.223818014806558 -0.0963781549875932 0.66194150500996 0.708837210813871 0.540832202970599
2.02305698394775 -0.102749412564273 -0.0572581947926569 0.125300422059863 0.223453661038693 -0.0969776218146288 0.662587434650857 0.708266682598003 0.54050551483833
2.03306674957275 -0.102725951348313 -0.0571536132269705 0.12546021267285 0.223328053447818 -0.0973708772791042 0.663072617618881 0.707798132637514 0.54050551483833
2.04302215576172 -0.102704802010986 -0.0570437148047825 0.125618627055338 0.223257090373264 -0.0974080541479965 0.663266266405156 0.707633946637758 0.54050551483833
2.05325889587402 -0.102688846865246 -0.0569288786327558 0.125777170946954 0.223254359933992 -0.096788952070927 0.662587436414169 0.708355333595771 0.540015482639927
2.06380867958069 -0.102675340018419 -0.0568010953422414 0.125932880128682 0.223118706769736 -0.0964044092244294 0.662107794245937 0.708898794871503 0.540178826706062
2.07369804382324 -0.10266788793903 -0.0566687224983763 0.126069102006039 0.223244487416079 -0.0966591152858024 0.66239429966929 0.708556776861339 0.541158891102867
2.08373332023621 -0.102664136142809 -0.0565327169452374 0.126195082209561 0.224036308399975 -0.0970956218924628 0.662992181909649 0.707687458878925 0.541322235169001
